time,type,estimate,num_kwh,kwh_price_no_vat,vat_percent,amount_with_vat
2016-11-22T22:00:00+00:00,consumption,False,3.000,0.316,25,0.949,1.186
2016-11-22T23:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-22T23:00:00+00:00,consumption,False,2.000,0.306,25,0.611,0.764
2016-11-23T00:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-23T00:00:00+00:00,consumption,False,2.000,0.300,25,0.599,0.749
2016-11-23T01:00:00+00:00,consumption,False,4.000,0.297,25,1.187,1.484
2016-11-23T01:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-23T02:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-23T02:00:00+00:00,consumption,False,2.000,0.290,25,0.581,0.726
2016-11-23T03:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-23T03:00:00+00:00,consumption,False,2.000,0.304,25,0.607,0.759
2016-11-23T04:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-23T04:00:00+00:00,consumption,False,3.000,0.314,25,0.943,1.178
2016-11-23T05:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-23T05:00:00+00:00,consumption,False,3.000,0.330,25,0.991,1.238
2016-11-23T06:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-23T06:00:00+00:00,consumption,False,4.000,0.337,25,1.349,1.686
